Outcode,YearBin,min,max,mean,median
AL1,1995 - 2004,52250.0,635000.0,166677.04,130000.0
AL1,2005 - 2014,87500.0,830000.0,310154.72,281250.0
AL1,2015 +,100.0,1850000.0,520404.94,447500.0
AL10,1995 - 2004,31500.0,470000.0,126624.63,99975.0
AL10,2005 - 2014,88000.0,499950.0,205937.43,187250.0
AL10,2015 +,81000.0,5980000.0,373258.55,300000.0
AL2,1995 - 2004,34995.0,633500.0,161468.4,125250.0
AL2,2005 - 2014,95000.0,925000.0,331057.66,300000.0
AL2,2015 +,130000.0,28169000.0,798586.4,492500.0
AL3,1995 - 2004,30000.0,890000.0,213331.4,201000.0
AL3,2005 - 2014,84208.0,1650000.0,403118.52,337500.0
AL3,2015 +,20000.0,2780000.0,596101.0,550000.0
AL4,1995 - 2004,48000.0,570000.0,170163.45,147250.0
AL4,2005 - 2014,122000.0,785000.0,330503.82,293500.0
AL4,2015 +,173500.0,4000000.0,623855.27,588500.0
AL5,1995 - 2004,48071.0,1075000.0,251012.54,192666.5
AL5,2005 - 2014,145000.0,2266000.0,632433.5,498750.0
AL5,2015 +,500.0,2550000.0,888052.87,780000.0
AL6,1995 - 2004,37000.0,760000.0,261738.51,218500.0
AL6,2005 - 2014,125000.0,2975000.0,499471.84,472475.0
AL6,2015 +,40000.0,3150000.0,693724.74,601000.0
AL7,1995 - 2004,39500.0,425000.0,140732.4,121500.0
AL7,2005 - 2014,80000.0,475000.0,217576.92,201975.0
AL7,2015 +,20000.0,35000000.0,747009.72,345000.0
AL8,1995 - 2004,44500.0,465000.0,166761.45,139000.0
AL8,2005 - 2014,69000.0,1115000.0,312507.0,250000.0
AL8,2015 +,3800.0,1950000.0,523911.62,465000.0
AL9,1995 - 2004,34500.0,2250000.0,209943.6,146725.0
AL9,2005 - 2014,97000.0,3750000.0,453245.5,352500.0
AL9,2015 +,2500.0,6480000.0,642839.61,449000.0
B1,1995 - 2004,17500.0,435000.0,162020.82,147143.0
B1,2005 - 2014,63000.0,445000.0,157920.45,150250.0
B1,2015 +,75000.0,5100000.0,253985.55,188400.0
B10,1995 - 2004,19500.0,190000.0,61436.45,51500.0
B10,2005 - 2014,38500.0,3260000.0,171143.45,114750.0
B10,2015 +,40000.0,600000.0,151404.88,142500.0
B11,1995 - 2004,10517.0,185000.0,61511.34,48500.0
B11,2005 - 2014,37000.0,725000.0,128009.57,115000.0
B11,2015 +,28000.0,1600000.0,190270.2,134500.0
B12,1995 - 2004,14750.0,186950.0,56253.0,45000.0
B12,2005 - 2014,35000.0,275000.0,130905.21,130000.0
B12,2015 +,1000.0,8000000.0,333955.01,155475.0
B13,1995 - 2004,15000.0,425000.0,102689.38,78000.0
B13,2005 - 2014,53000.0,580000.0,189525.32,149950.0
B13,2015 +,66200.0,1300000.0,246055.94,188750.0
B14,1995 - 2004,20000.0,387000.0,81394.15,73250.0
B14,2005 - 2014,43000.0,435000.0,146128.99,133250.0
B14,2015 +,40000.0,520000.0,214625.74,205000.0
B15,1995 - 2004,29000.0,1325000.0,182712.97,123750.0
B15,2005 - 2014,35000.0,1775000.0,247005.6,163497.5
B15,2015 +,82500.0,17250000.0,596520.73,226037.0
B16,1995 - 2004,16500.0,279995.0,115437.65,96000.0
B16,2005 - 2014,36750.0,490000.0,157773.81,138480.0
B16,2015 +,54000.0,850000.0,218016.13,188000.0
B17,1995 - 2004,20500.0,730000.0,133296.65,98500.0
B17,2005 - 2014,52000.0,620000.0,212901.53,195750.0
B17,2015 +,25000.0,1380000.0,338210.96,285000.0
B18,1995 - 2004,13250.0,300000.0,86845.7,61250.0
B18,2005 - 2014,20000.0,270000.0,114676.37,101000.0
B18,2015 +,13500.0,1600000.0,188317.05,155000.0
B19,1995 - 2004,8000.0,120000.0,43935.73,39236.5
B19,2005 - 2014,45000.0,250000.0,105729.27,98750.0
B19,2015 +,57000.0,2300000.0,210811.92,139900.0
B2,1995 - 2004,71250.0,174950.0,119760.0,120000.0
B2,2005 - 2014,20000.0,279000.0,161986.52,150000.0
B2,2015 +,25000.0,40375000.0,1871547.21,166250.0
B20,1995 - 2004,10000.0,197000.0,68046.89,56500.0
B20,2005 - 2014,35000.0,615000.0,161895.82,147750.0
B20,2015 +,25000.0,1632716.0,238026.29,190000.0
B21,1995 - 2004,11000.0,180000.0,43911.63,33250.0
B21,2005 - 2014,31000.0,260000.0,108821.82,105000.0
B21,2015 +,50000.0,312500.0,143024.32,136000.0
B23,1995 - 2004,22000.0,357000.0,63341.7,51500.0
B23,2005 - 2014,40000.0,740000.0,121851.19,115000.0
B23,2015 +,15000.0,300000.0,143881.8,140817.5
B24,1995 - 2004,28000.0,220000.0,80274.1,69950.0
B24,2005 - 2014,25500.0,4110000.0,176258.15,123747.5
B24,2015 +,500.0,465000.0,172085.39,166000.0
B25,1995 - 2004,10000.0,230000.0,68646.82,58500.0
B25,2005 - 2014,39000.0,249999.0,121325.2,116250.0
B25,2015 +,8000.0,5197706.0,217180.46,149975.0
B26,1995 - 2004,15750.0,245000.0,81427.2,69000.0
B26,2005 - 2014,10575.0,300000.0,136197.2,135000.0
B26,2015 +,41000.0,375000.0,171552.1,169225.0
B27,1995 - 2004,23750.0,180000.0,70110.94,63000.0
B27,2005 - 2014,15000.0,308000.0,140156.05,127625.0
B27,2015 +,57000.0,522867.0,182911.5,163500.0
B28,1995 - 2004,29000.0,269950.0,98225.78,88225.0
B28,2005 - 2014,50500.0,600000.0,188361.91,171750.0
B28,2015 +,56000.0,651000.0,243468.22,240500.0
B29,1995 - 2004,30000.0,205000.0,76441.44,64250.0
B29,2005 - 2014,44000.0,385000.0,147121.5,134000.0
B29,2015 +,87000.0,3500000.0,266269.66,207500.0
B3,1995 - 2004,35000.0,283668.0,142574.5,145500.0
B3,2005 - 2014,69300.0,630000.0,156551.98,134148.0
B3,2015 +,72500.0,9340000.0,532484.5,220000.0
B30,1995 - 2004,18000.0,238450.0,78816.85,58725.0
